Self-playing 100000 games with the heuristic solver…

  37700/100000  (467.7s)   
  37750/100000  (467.9s)   
  37800/100000  (468.6s)   
  37850/100000  (469.0s)   
  37900/100000  (470.0s)   
  37950/100000  (471.0s)   
  38000/100000  (471.3s)   
  38050/100000  (471.9s)   
  38100/100000  (472.6s)   
  38150/100000  (472.9s)   
  38200/100000  (473.4s)   
  38250/100000  (474.4s)   
  38300/100000  (474.9s)   
  38350/100000  (475.3s)   
  38400/100000  (476.0s)   
  38450/100000  (476.6s)   
  38500/100000  (477.2s)   
  38550/100000  (477.7s)   
  38600/100000  (478.4s)   
  38650/100000  (479.0s)   
  38700/100000  (479.8s)   
  38750/100000  (480.4s)   
  38800/100000  (481.2s)   
  38850/100000  (481.6s)   
  38900/100000  (482.2s)   
  38950/100000  (483.0s)   
  39000/100000  (483.6s)   
  39050/100000  (484.5s)   
  39100/100000  (484.9s)   
  39150/100000  (485.7s)   
  39200/100000  (486.2s)   
  39250/100000  (486.7s)   
  39300/100000  (487.3s)   
  39350/100000  (487.7s)   
  39400/100000  (488.4s)   
  39450/100000  (489.0s)   
  39500/100000  (489.3s)   
  39550/100000  (489.7s)   
  39600/100000  (490.2s)   
  39650/100000  (490.7s)   
  39700/100000  (491.0s)   
  39750/100000  (491.5s)   
  39800/100000  (492.5s)   
  39850/100000  (493.2s)   
  39900/100000  (493.9s)   
  39950/100000  (494.4s)   
  40000/100000  (495.3s)   
  40050/100000  (495.6s)   
  40100/100000  (496.3s)   
  40150/100000  (497.0s)   
  40200/100000  (497.5s)   
  40250/100000  (498.1s)   
  40300/100000  (498.6s)   
  40350/100000  (499.0s)   
  40400/100000  (499.5s)   
  40450/100000  (500.3s)   
  40500/100000  (500.8s)   
  40550/100000  (501.1s)   
  40600/100000  (501.7s)   
  40650/100000  (502.1s)   
  40700/100000  (503.0s)   
  40750/100000  (503.7s)   
  40800/100000  (504.0s)   
  40850/100000  (504.4s)   
  40900/100000  (504.9s)   
  40950/100000  (505.3s)   
  41000/100000  (505.8s)   
  41050/100000  (506.5s)   
  41100/100000  (507.0s)   
  41150/100000  (507.5s)   
  41200/100000  (507.9s)   
  41250/100000  (508.7s)   
  41300/100000  (509.6s)   
  41350/100000  (510.0s)   
  41400/100000  (511.0s)   
  41450/100000  (511.5s)   
  41500/100000  (512.0s)   
  41550/100000  (512.3s)   
  41600/100000  (512.8s)   
  41650/100000  (513.3s)   
  41700/100000  (513.7s)   
  41750/100000  (514.4s)   
  41800/100000  (514.8s)   
  41850/100000  (515.5s)   
  41900/100000  (516.0s)   
  41950/100000  (516.9s)   
  42000/100000  (518.0s)   
  42050/100000  (518.4s)   
  42100/100000  (519.4s)   
  42150/100000  (520.0s)   
  42200/100000  (520.7s)   
  42250/100000  (521.0s)   
  42300/100000  (521.5s)   
  42350/100000  (522.2s)   
  42400/100000  (522.7s)   
  42450/100000  (523.5s)   
  42500/100000  (523.9s)   
  42550/100000  (524.4s)   
  42600/100000  (525.0s)   
  42650/100000  (525.3s)   
  42700/100000  (525.9s)   
  42750/100000  (526.5s)   
  42800/100000  (527.2s)   
  42850/100000  (527.8s)   
  42900/100000  (528.7s)   
  42950/100000  (529.6s)   
  43000/100000  (530.0s)   
  43050/100000  (530.7s)   
  43100/100000  (531.2s)   
  43150/100000  (531.5s)   
  43200/100000  (531.8s)   
  43250/100000  (532.8s)   
  43300/100000  (533.3s)   
  43350/100000  (534.0s)   
  43400/100000  (534.6s)   
  43450/100000  (535.1s)   
  43500/100000  (535.5s)   
  43550/100000  (535.9s)   
  43600/100000  (536.9s)   
  43650/100000  (537.7s)   
  43700/100000  (538.9s)   
  43750/100000  (539.7s)   
  43800/100000  (540.4s)   
  43850/100000  (541.0s)   
  43900/100000  (541.8s)   
  43950/100000  (542.5s)   
  44000/100000  (543.3s)   
  44050/100000  (544.2s)   
  44100/100000  (545.2s)   
  44150/100000  (545.9s)   
  44200/100000  (546.9s)   
  44250/100000  (547.9s)   
  44300/100000  (548.7s)   
  44350/100000  (549.2s)   
  44400/100000  (549.6s)   
  44450/100000  (550.2s)   
  44500/100000  (550.7s)   
  44550/100000  (551.3s)   
  44600/100000  (552.1s)   
  44650/100000  (552.8s)   
  44700/100000  (553.4s)   
  44750/100000  (554.0s)   
  44800/100000  (554.9s)   
  44850/100000  (555.2s)   
  44900/100000  (556.2s)   
  44950/100000  (556.9s)   
  45000/100000  (557.8s)   
  45050/100000  (558.7s)   
  45100/100000  (559.5s)   
  45150/100000  (560.0s)   
  45200/100000  (560.6s)   
  45250/100000  (561.0s)   
  45300/100000  (561.6s)   
  45350/100000  (562.2s)   
  45400/100000  (563.3s)   
  45450/100000  (564.2s)   
  45500/100000  (564.9s)   
  45550/100000  (565.5s)   
  45600/100000  (565.9s)   
  45650/100000  (566.6s)   
  45700/100000  (567.3s)   
  45750/100000  (568.3s)   
  45800/100000  (568.9s)   
  45850/100000  (569.8s)   
  45900/100000  (570.3s)   
  45950/100000  (571.3s)   
  46000/100000  (571.9s)   
  46050/100000  (572.8s)   
  46100/100000  (573.3s)   
  46150/100000  (573.9s)   
  46200/100000  (574.5s)   
  46250/100000  (575.0s)   
  46300/100000  (575.5s)   
  46350/100000  (576.0s)   
  46400/100000  (576.7s)   
  46450/100000  (577.9s)   
