Self-playing 100000 games with the heuristic solver…

  27350/100000  (293.9s)   
  27400/100000  (294.2s)   
  27450/100000  (294.5s)   
  27500/100000  (295.0s)   
  27550/100000  (295.4s)   
  27600/100000  (296.1s)   
  27650/100000  (296.7s)   
  27700/100000  (297.4s)   
  27750/100000  (298.2s)   
  27800/100000  (298.6s)   
  27850/100000  (299.6s)   
  27900/100000  (300.7s)   
  27950/100000  (301.1s)   
  28000/100000  (301.7s)   
  28050/100000  (302.0s)   
  28100/100000  (302.8s)   
  28150/100000  (303.0s)   
  28200/100000  (303.6s)   
  28250/100000  (304.1s)   
  28300/100000  (304.5s)   
  28350/100000  (305.4s)   
  28400/100000  (305.9s)   
  28450/100000  (306.3s)   
  28500/100000  (307.0s)   
  28550/100000  (307.3s)   
  28600/100000  (307.9s)   
  28650/100000  (308.1s)   
  28700/100000  (308.5s)   
  28750/100000  (308.9s)   
  28800/100000  (309.5s)   
  28850/100000  (310.1s)   
  28900/100000  (310.9s)   
  28950/100000  (311.4s)   
  29000/100000  (311.9s)   
  29050/100000  (312.3s)   
  29100/100000  (312.7s)   
  29150/100000  (313.2s)   
  29200/100000  (313.5s)   
  29250/100000  (314.0s)   
  29300/100000  (314.6s)   
  29350/100000  (315.2s)   
  29400/100000  (315.7s)   
  29450/100000  (316.4s)   
  29500/100000  (316.6s)   
  29550/100000  (317.0s)   
  29600/100000  (317.4s)   
  29650/100000  (317.8s)   
  29700/100000  (318.2s)   
  29750/100000  (318.8s)   
  29800/100000  (319.2s)   
  29850/100000  (319.7s)   
  29900/100000  (320.2s)   
  29950/100000  (320.6s)   
  30000/100000  (321.2s)   
  30050/100000  (321.6s)   
  30100/100000  (321.9s)   
  30150/100000  (322.3s)   
  30200/100000  (323.2s)   
  30250/100000  (323.7s)   
  30300/100000  (324.1s)   
  30350/100000  (324.6s)   
  30400/100000  (325.1s)   
  30450/100000  (325.4s)   
  30500/100000  (326.0s)   
  30550/100000  (326.5s)   
  30600/100000  (326.7s)   
  30650/100000  (327.6s)   
  30700/100000  (328.3s)   
  30750/100000  (328.6s)   
  30800/100000  (329.0s)   
  30850/100000  (329.3s)   
  30900/100000  (329.9s)   
  30950/100000  (330.5s)   
  31000/100000  (330.9s)   
  31050/100000  (331.3s)   
  31100/100000  (331.9s)   
  31150/100000  (332.3s)   
  31200/100000  (333.0s)   
  31250/100000  (333.5s)   
  31300/100000  (334.0s)   
  31350/100000  (334.4s)   
  31400/100000  (335.2s)   
  31450/100000  (335.6s)   
